Generation,Treatment,Sample,Sex,GenTreatment,Antibiotic,Sugar.Weight,Glucose ,Trehalose,Glycogen,Fat.Weight,TAG
F1,C+,9,male,C,antibiotic,2.44,7.74277055,13.29607083,46.67155612,2.68,11.65808097
F1,C+,10,male,C,antibiotic,2.39,8.32414303,9.892996111,46.09824158,2.54,7.503458992
F1,C+,11,male,C,antibiotic,2.53,7.094713365,11.11562557,45.26163744,2.59,13.15026537
F1,C+,12,male,C,antibiotic,2.53,6.702646875,9.809893207,56.176141,2.32,15.34920177
F1,C+,13,male,C,antibiotic,2.48,8.013463439,10.5810477,59.67940916,2.24,8.870066222
F1,C+,14,male,C,antibiotic,2.6,6.924143145,10.31743697,53.09569812,2.65,20.99368205
F1,C+,15,male,C,antibiotic,2.48,7.398747505,10.63316548,61.55206433,2.44,16.02291005
F1,C+,16,male,C,antibiotic,2.54,5.656565657,7.08053076,51.27840437,2.73,16.11645831
F1,C+,17,male,C,antibiotic,2.61,7.596757322,8.700019275,38.2208298,2.43,18.33691321
F1,C+,18,male,C,antibiotic,2.52,7.055498227,16.19820243,51.99787135,2.53,17.20346752
F1,C+,19,male,C,antibiotic,2.52,7.051203522,12.59841769,50.96961933,2.6,15.69587145
F1,C+,20,male,C,antibiotic,2.8,7.505444251,8.960094786,67.95187282,2.02,9.592358318
F1,C+,21,male,C,antibiotic,2.45,5.948116289,11.90480529,48.89856636,2.61,4.449485184
F1,C+,22,male,C,antibiotic,2.36,4.925385191,9.178269331,37.07866339,2.69,10.94469606
F1,C+,23,male,C,antibiotic,2.8,5.396343965,17.10504332,49.0179827,2.48,14.68166102
F1,C+,24,male,C,antibiotic,2.45,6.724340509,6.828648621,47.6980441,2.58,6.26087178
F1,C+,25,male,C,antibiotic,2.68,6.337701029,8.218893156,46.01864978,2.73,14.58287016
F1,C+,26,male,C,antibiotic,2.56,7.060066598,10.48625831,60.35462976,2.33,13.04596607
F1,C+,27,male,C,antibiotic,2.19,5.754209822,8.663213792,59.93456569,2.43,15.20083165
F1,C+,28,male,C,antibiotic,2.57,5.60068299,11.72988987,54.41915828,2.5,15.06357705
F1,H+,1,male,H,antibiotic,2.13,6.822432254,14.06000459,36.44373725,2.54,11.00932549
F1,H+,2,male,H,antibiotic,2.65,5.637886598,15.19544674,43.18952108,2.5,10.18860191
F1,H+,3,male,H,antibiotic,2.57,8.571390993,12.66003151,59.32011836,2.52,9.417688047
F1,H+,4,male,H,antibiotic,2.47,7.757753314,10.53146751,55.24386061,2.13,13.54720897
F1,H+,5,male,H,antibiotic,2.49,6.44418247,9.471611813,50.52313674,2.46,16.56229222
F1,H+,6,male,H,antibiotic,2.46,6.300104559,12.96480305,64.1544409,2.69,22.38590757
F1,H+,7,male,H,antibiotic,2.57,11.05119543,9.477480751,51.20795803,2.46,14.22717741
F1,H+,8,male,H,antibiotic,2.5,6.463488714,11.15589555,46.51386598,2.18,10.75886511
F1,H+,9,male,H,antibiotic,2.61,6.0404187,12.58642859,40.5240897,2.62,16.72791945
F1,H+,10,male,H,antibiotic,2.58,4.983261388,15.47738296,49.33922421,1.85,16.06099587
F1,H+,11,male,H,antibiotic,2.13,7.032093496,11.0754707,64.69944343,2.49,11.93199455
F1,H+,12,male,H,antibiotic,2.56,7.223881173,8.914041633,53.58560678,2.76,12.89444917
F1,H+,13,male,H,antibiotic,2.43,7.398721758,8.207767262,30.13349604,2.58,16.59505838
F1,H+,14,male,H,antibiotic,2.54,7.156635802,12.72284171,42.85561432,2.34,13.88280861
F1,H+,15,male,H,antibiotic,2.44,7.046349108,11.54154512,36.21982039,2.24,13.35197784
F1,H+,16,male,H,antibiotic,2.31,4.67781314,11.28544759,44.14959454,2.49,12.41164704
F1,H+,17,male,H,antibiotic,2.63,9.145629555,8.949472625,58.7458798,2.47,21.03806236
F1,H+,18,male,H,antibiotic,2.54,7.927608727,11.67915585,55.07400519,2.53,11.20510801
F1,H+,19,male,H,antibiotic,2.57,6.290059402,11.46355045,50.67725981,2.43,17.31753153
F1,H+,20,male,H,antibiotic,2.45,5.658122553,7.113676823,64.7964229,2.42,15.20114466
F1,H+,21,male,H,antibiotic,2.48,6.561241852,11.17445152,55.6979116,2.42,18.64632312
F1,H+,22,male,H,antibiotic,2.54,6.82858443,11.24836337,46.14877026,2.43,18.52216575
F1,H+,23,male,H,antibiotic,2.27,6.972206221,9.849577532,39.59230218,2.52,20.47992854
F1,H+,24,male,H,antibiotic,2.51,5.936867409,15.33159657,48.38561819,2.4,20.23807348
F1,H+,25,male,H,antibiotic,2.02,8.622217909,8.106316415,63.10931902,2.48,14.90934465
F1,H+,26,male,H,antibiotic,2.52,7.271338384,13.36090551,53.53814957,2.44,10.52393339
F1,H+,27,male,H,antibiotic,2.43,7.348376045,9.937280626,33.32180903,2.65,14.24091893
F1,H+,28,male,H,antibiotic,2.39,6.088339896,8.653169123,43.92391022,2.31,12.92762625
F1,N-,1,male,N,no antibiotic,2.34,9.919389821,13.02033402,49.436747,2.43,14.56944906
F1,N-,2,male,N,no antibiotic,2.07,7.427755165,12.84842645,55.73826761,2.46,14.88757686
F1,N-,3,male,N,no antibiotic,2.52,8.4375,17.11610241,56.67184318,2.5,14.20949689
F1,N-,4,male,N,no antibiotic,2.6,6.541902542,18.03270052,66.48645497,2.56,19.57450608
F1,N-,5,male,N,no antibiotic,2.34,9.456236897,15.64077,64.21874472,2.5,11.50938068
F1,N-,6,male,N,no antibiotic,2.48,7.451805847,20.79380819,73.57586214,2.55,10.41863948
F1,N-,7,male,N,no antibiotic,2.47,9.562982137,13.89070357,42.99383604,2.6,21.33806602
F1,N-,8,male,N,no antibiotic,2.53,6.955411081,17.29520008,53.73931003,2.33,13.49627498
F1,N-,9,male,N,no antibiotic,2.47,6.483871169,19.05098045,61.98329275,2.55,14.62204148
F1,N-,10,male,N,no antibiotic,2.42,6.96007372,17.99124346,58.64179571,2.56,12.66703616
F1,N-,11,male,N,no antibiotic,2.74,6.34375,16.37488713,35.78965122,2.44,12.63098647
F1,N-,12,male,N,no antibiotic,2.15,8.307220063,7.967195108,49.71548388,2.57,17.6099994
F1,N-,13,male,N,no antibiotic,2.94,9.139456219,8.012978167,46.86373632,2.46,19.13091879
F1,N-,14,male,N,no antibiotic,2.55,6.097088541,9.244109316,65.53442449,2.57,18.12228189
F1,N-,15,male,N,no antibiotic,2.31,7.082479508,9.269284931,52.27365731,2.5,16.58291969
F1,N-,16,male,N,no antibiotic,2.5,5.681601619,9.366813097,57.48442116,2.16,22.53339344
F1,N-,17,male,N,no antibiotic,2.54,5.871080084,12.46590868,59.2382631,2.49,14.86566385
F1,N-,18,male,N,no antibiotic,2.61,7.277572448,12.37378235,65.75078506,2.57,14.7755302
F1,N-,19,male,N,no antibiotic,2.38,6.586809193,15.78450749,67.08817242,2.49,12.43881307
F1,N-,20,male,N,no antibiotic,2.33,6.371016866,11.38737882,74.65665112,2.65,19.64916576
F1,N-,21,male,N,no antibiotic,2.36,8.588238751,9.325219551,43.96857943,2.36,20.52478287
F1,N-,22,male,N,no antibiotic,2.66,6.462006454,24.51661197,54.23271466,2.49,18.87148345
F1,N-,23,male,N,no antibiotic,2.48,6.769791992,11.46714831,61.69737193,2.43,15.91304577
F1,N-,24,male,N,no antibiotic,2.62,6.972960279,14.2025297,58.62890915,2.28,17.31659826
F1,N-,25,male,N,no antibiotic,2.82,7.554009689,14.96848834,34.57939153,2.6,17.45472362
F1,N-,26,male,N,no antibiotic,2.17,6.025449102,9.273062639,51.99725484,2.73,21.52536725
F1,N-,27,male,N,no antibiotic,2.52,8.004383625,9.237658494,47.99880891,2.46,12.60874335
F1,N-,28,male,N,no antibiotic,2.58,8.349554036,12.37144702,63.28195899,2.4,11.22680028
F1,C-,1,male,C,no antibiotic,2.46,10.21417836,5.777292859,40.07168443,2.45,9.320348454
F1,C-,2,male,C,no antibiotic,2.7,6.004802192,8.465211755,60.06104355,2.44,4.330767528
F1,C-,3,male,C,no antibiotic,2.56,7.917402553,10.07055703,48.26946613,2.68,9.220890257
F1,C-,4,male,C,no antibiotic,2.65,5.913256011,20.48213821,47.4420601,2.47,10.1348033
F1,C-,5,male,C,no antibiotic,2.26,9.297997947,11.33916018,54.47959334,2.66,16.04583735
F1,C-,6,male,C,no antibiotic,2.54,6.056022033,16.84783782,75.23563232,3.07,14.76012161
F1,C-,7,male,C,no antibiotic,2.86,7.630687168,12.58224246,58.1362358,2.46,11.64270167
F1,C-,8,male,C,no antibiotic,2.59,6.864780551,13.68648674,70.46856558,2.61,16.10606236
F1,C-,9,male,C,no antibiotic,2.7,6.750966455,11.56496206,64.81154097,2.62,17.95592294
F1,C-,10,male,C,no antibiotic,2.39,6.479631647,15.34167419,46.49292933,2.53,8.073012121
F1,C-,11,male,C,no antibiotic,2.24,7.377907513,12.17503358,47.98281393,2.63,8.971169435
F1,C-,12,male,C,no antibiotic,2.58,7.481345961,13.38431358,68.52617651,2.42,6.889902342
F1,C-,13,male,C,no antibiotic,2.39,6.919061246,10.82624147,72.38894501,2.44,8.099223098
F1,C-,14,male,C,no antibiotic,2.68,6.579317678,13.26918146,60.37780645,2.6,16.10862955
F1,C-,15,male,C,no antibiotic,2.72,8.386253531,10.98766764,41.89960925,2.36,10.05200119
F1,C-,16,male,C,no antibiotic,2.64,7.472864396,11.71396041,58.59298135,2.55,16.30626299
F1,C-,17,male,C,no antibiotic,2.34,6.7985904,8.655382559,49.38827829,2.92,15.49302616
F1,C-,18,male,C,no antibiotic,2.4,8.572104978,13.00521661,44.78321113,2.58,5.606052274
F1,C-,19,male,C,no antibiotic,2.54,7.102838269,13.54513078,56.67475302,2.47,11.75036506
F1,C-,20,male,C,no antibiotic,2.27,6.24218266,8.374393517,75.04947169,2.59,13.76935789
F1,C-,21,male,C,no antibiotic,2.59,7.0222948,17.42108325,58.74462817,2.4,12.76736106
F1,C-,22,male,C,no antibiotic,2.62,6.629464286,15.61318277,70.70388184,2.75,9.383342123
F1,C-,23,male,C,no antibiotic,2.85,8.023821721,14.37677956,63.5386857,2.38,7.862560755
F1,C-,24,male,C,no antibiotic,2.56,7.943012332,11.57927308,45.02954864,2.52,15.86351966
F1,C-,25,male,C,no antibiotic,2.78,5.524897331,10.96963403,46.86328859,2.43,9.936837271
F1,C-,26,male,C,no antibiotic,2.66,5.580357143,9.01104742,70.42716533,2.55,5.92613461
F1,C-,27,male,C,no antibiotic,2.37,6.983215828,9.750963283,72.32479043,2.56,18.66914292
F1,C-,28,male,C,no antibiotic,2.33,5.736607143,8.571568958,61.22051698,2.46,8.271390472
F1,H-,1,male,H,no antibiotic,2.52,7.810453772,9.608539203,64.59182797,2.46,17.41409945
F1,H-,2,male,H,no antibiotic,2.53,6.42325462,11.57115488,71.29951766,2.48,7.121768749
F1,H-,3,male,H,no antibiotic,2.53,8.325878268,10.12470751,53.76900542,2.44,20.83634874
F1,H-,4,male,H,no antibiotic,2.57,8.44961391,11.63980946,62.61045012,2.52,6.661743382
F1,H-,5,male,H,no antibiotic,2.52,8.457977152,12.90279264,63.15073444,2.5,19.12804627
F1,H-,6,male,H,no antibiotic,2.43,7.159952492,13.21317367,71.11040107,2.57,13.56492311
F1,H-,7,male,H,no antibiotic,2.27,7.610374856,16.71026442,61.0592031,2.42,11.55334562
F1,H-,8,male,H,no antibiotic,2.53,6.205791066,13.1133076,60.98080156,2.44,13.95784945
F1,H-,9,male,H,no antibiotic,2.88,6.630380977,14.74265646,80.84400427,2,17.46588964
F1,H-,10,male,H,no antibiotic,2.54,6.796064948,16.00267719,76.83428128,2.6,18.32804704
F1,H-,11,male,H,no antibiotic,2.76,5.944268599,10.98580759,52.22404823,2.57,15.32541512
F1,H-,12,male,H,no antibiotic,2.57,7.175695825,6.129671007,48.62381235,2.61,17.09153361
F1,H-,13,male,H,no antibiotic,2.53,6.76639944,11.99976087,55.29588959,2.37,18.97459995
F1,H-,14,male,H,no antibiotic,2.47,6.333395107,12.54376873,48.47724423,2.34,18.64515899
F1,H-,15,male,H,no antibiotic,2.47,8.46387987,13.56987681,63.93840188,2.46,21.16648128
F1,H-,16,male,H,no antibiotic,2.59,8.936737805,17.23796781,68.78603447,2.56,14.19165171
F1,H-,17,male,H,no antibiotic,2.68,8.32201087,12.93664969,53.77287282,2.78,12.12938333
F1,H-,18,male,H,no antibiotic,2.42,7.523123728,12.12239579,63.5369403,2.52,14.68844923
F1,H-,19,male,H,no antibiotic,2.56,8.040297741,15.65541557,63.56841385,2.63,12.29885269
F1,H-,20,male,H,no antibiotic,2.56,8.420091712,11.44662873,69.85026185,2.37,11.48859687
F1,H-,21,male,H,no antibiotic,2.59,8.566822684,10.59539961,60.10275527,2.37,11.58516247
F1,H-,22,male,H,no antibiotic,2.49,6.36886614,13.94987753,60.81772648,2.77,16.73692863
F1,H-,23,male,H,no antibiotic,2.54,6.181112224,9.227169509,82.26951913,2.53,8.833142848
F1,H-,24,male,H,no antibiotic,2.67,5.865675403,17.54939812,77.76467083,2.02,5.583944546
F1,H-,25,male,H,no antibiotic,2.47,6.869583637,3.493425722,51.29873319,2.62,10.15268161
F1,H-,26,male,H,no antibiotic,2.6,6.20920482,7.515048367,49.59030335,2.58,13.05262187
F1,H-,27,male,H,no antibiotic,2.39,7.795775252,6.983287916,54.26651378,2.4,14.77116744
F1,H-,28,male,H,no antibiotic,2.56,7.725910895,5.680948886,47.08472845,2.61,16.75574005
F1,N+,1,female,N,antibiotic,3.76,7.104700855,13.76631198,72.76356569,3.55,27.06806494
F1,N+,2,female,N,antibiotic,3.47,9.766046317,11.11790973,68.63395368,3.68,30.49424697
F1,N+,3,female,N,antibiotic,3.54,11.03734552,11.48927956,76.62397088,3.85,35.60609139
F1,N+,4,female,N,antibiotic,3.3,9.071724004,7.037549963,94.4392588,3.79,27.8794523
F1,N+,5,female,N,antibiotic,3.62,8.574654699,10.71535992,57.31930022,3.59,27.19045458
F1,N+,6,female,N,antibiotic,3.13,11.34526072,11.72489534,82.77628594,3.64,12.60310695
F1,N+,7,female,N,antibiotic,3.53,12.04165251,14.16518329,91.92436826,3.82,42.83350187
F1,N+,8,female,N,antibiotic,3.53,8.719973316,15.21103452,61.61424753,4.06,28.24180959
F1,N+,9,female,N,antibiotic,3.49,12.71636492,14.32116804,84.7177245,3.74,22.74662383
F1,N+,10,female,N,antibiotic,3.71,13.18629146,12.07401325,87.26013712,3.49,26.90150653
F1,N+,11,female,N,antibiotic,3.54,6.897988826,10.74963999,62.99506326,3.57,14.73897671
F1,N+,12,female,N,antibiotic,3.63,8.46727899,6.838798429,32.90798197,3.45,21.73503391
F1,N+,13,female,N,antibiotic,3.71,13.8873206,13.48424505,87.68020958,3.77,42.56472805
F1,N+,14,female,N,antibiotic,3.85,10.99887915,13.56220888,111.4863494,3.47,25.46241766
F1,N+,15,female,N,antibiotic,3.66,9.762910701,13.02213926,97.21757472,3.75,37.5024179
F1,N+,16,female,N,antibiotic,3.66,9.03340081,13.0161173,91.41940309,3.83,37.7667807
F1,N+,17,female,N,antibiotic,3.75,11.01215176,13.34544995,96.62331622,3.84,30.09342005
F1,N+,18,female,N,antibiotic,3.21,9.078952734,9.208041109,90.75984738,3.79,30.71769086
F1,N+,19,female,N,antibiotic,3.51,12.80159138,13.20942514,100.9915121,3.7,29.97473947
F1,N+,20,female,N,antibiotic,3.73,10.20452212,11.0385357,95.88557799,3.64,28.49727004
F1,N+,21,female,N,antibiotic,3.92,10.22238333,11.62184076,78.4128765,3.72,21.45704684
F1,N+,22,female,N,antibiotic,3.67,8.499812243,11.88441425,76.735739,3.57,31.50802035
F1,N+,23,female,N,antibiotic,3.82,11.23996063,12.73760389,110.4190894,3.8,28.314311
F1,N+,24,female,N,antibiotic,3.35,8.031186613,7.629122526,58.67204229,3.78,20.7637208
F1,N+,25,female,N,antibiotic,3.6,10.2446267,9.957772104,80.6611007,3.48,53.26569933
F1,N+,26,female,N,antibiotic,3.8,9.934019588,10.539705,75.60569528,4.05,33.19064624
F1,N+,27,female,N,antibiotic,3.38,9.097932816,7.307882819,57.33004271,3.96,28.19373642
F1,N+,28,female,N,antibiotic,3.71,8.948749549,9.827049736,89.53400907,3.41,29.3970946
F1,C+,1,female,C,antibiotic,3.54,11.97617218,10.98917368,114.6801904,3.83,32.8019222
F1,C+,2,female,C,antibiotic,3.79,11.9464516,7.434465897,72.39402896,3.51,35.87501665
F1,C+,3,female,C,antibiotic,3.54,9.511095385,7.429928884,55.89023386,3.58,34.54023254
F1,C+,4,female,C,antibiotic,3.84,10.4950107,9.950700337,87.1478249,3.55,48.24676251
F1,C+,5,female,C,antibiotic,4.01,13.04402801,14.49625676,107.2264043,3.86,24.30547515
F1,C+,6,female,C,antibiotic,3.6,9.855547877,8.868767567,72.10076262,3.34,19.22381783
F1,C+,7,female,C,antibiotic,3.63,10.50802729,9.916371015,83.74344341,3.54,32.85845264
F1,C+,8,female,C,antibiotic,3.8,10.59326991,12.39768228,50.44954533,3.59,29.41582676
F1,C+,9,female,C,antibiotic,3.69,12.68772861,13.98270391,115.47624,3.65,34.78161572
F1,C+,10,female,C,antibiotic,3.93,15.40935082,9.217890794,102.1483513,3.6,22.26775875
F1,C+,11,female,C,antibiotic,3.58,9.066541769,11.16385711,60.27707915,3.58,21.35862818
F1,C+,12,female,C,antibiotic,3.62,10.00772328,12.66641186,108.8781106,3.55,26.31086686
F1,C+,13,female,C,antibiotic,3.91,13.40581669,14.17217845,114.5255616,3.55,25.73670461
F1,C+,14,female,C,antibiotic,3.73,9.577446105,7.763967886,85.84359096,4.06,29.2253432
F1,C+,15,female,C,antibiotic,3.51,9.834639653,15.20042346,119.9256368,3.57,30.11821821
F1,C+,16,female,C,antibiotic,3.69,9.163569606,12.46762639,78.41002165,3.66,38.63975933
F1,C+,17,female,C,antibiotic,3.65,10.9525069,10.85242162,121.8061138,3.5,29.39167582
F1,C+,18,female,C,antibiotic,3.62,8.885162465,10.50394931,90.782729,3.43,19.97509493
F1,C+,19,female,C,antibiotic,3.52,11.11203957,12.27382692,60.27147599,3.63,36.05225848
F1,C+,20,female,C,antibiotic,3.77,9.757133082,13.00446506,80.88226382,3.79,33.59022861
F1,C+,21,female,C,antibiotic,3.2,9.129986548,10.22829539,74.87001345,3.24,17.40839119
F1,C+,22,female,C,antibiotic,3.54,8.967926954,12.46895324,84.19170504,3.47,25.08842009
F1,C+,23,female,C,antibiotic,3.74,11.84819561,11.39323246,65.85942945,3.76,22.18445139
F1,C+,24,female,C,antibiotic,3.41,8.355564024,10.06056845,65.33122341,3.83,29.1749619
F1,C+,25,female,C,antibiotic,3.47,10.93054386,12.28210089,69.20347819,3.64,17.79580862
F1,C+,26,female,C,antibiotic,3.69,10.9721203,12.35209638,109.2357398,3.84,28.84896645
F1,C+,27,female,C,antibiotic,3.44,13.47783328,10.72572537,59.85873787,3.52,21.00636969
F1,C+,28,female,C,antibiotic,4.03,7.30847642,7.972853504,43.2183435,3.66,34.66844935
F1,H+,1,female,H,antibiotic,3.59,10.91922225,11.55054117,84.31504229,3.46,25.52535134
F1,H+,2,female,H,antibiotic,3.36,8.629309287,9.321852659,49.73336677,3.66,22.07893543
F1,H+,3,female,H,antibiotic,3.42,13.8493194,13.19378151,80.7800622,3.93,37.89148438
F1,H+,4,female,H,antibiotic,3.8,12.29733412,10.24523554,103.4529841,3.78,23.21022524
F1,H+,5,female,H,antibiotic,3.48,12.22316429,12.760948,106.7530895,3.77,45.30634733
F1,H+,6,female,H,antibiotic,3.6,12.60318198,12.48768071,116.0876616,3.44,21.71012401
F1,H+,7,female,H,antibiotic,3.52,11.13775057,13.93448885,81.2895798,3.46,26.34658675
F1,H+,8,female,H,antibiotic,3.67,12.99568292,14.12743332,97.84613046,3.69,32.54680742
F1,H+,9,female,H,antibiotic,3.48,12.81933152,12.25608326,92.01609018,3.63,36.15340148
F1,H+,10,female,H,antibiotic,3.5,10.47521442,13.57177139,95.78830619,3.64,37.99933799
F1,H+,11,female,H,antibiotic,3.79,15.64548267,16.95440934,133.3042061,4.11,39.29572821
F1,H+,12,female,H,antibiotic,3.59,8.995391556,10.69180203,72.67707365,3.68,26.63882105
F1,H+,13,female,H,antibiotic,3.81,11.37221083,14.07414181,89.11318871,3.6,22.43580893
F1,H+,14,female,H,antibiotic,3.55,7.972849556,9.299877717,35.59821384,3.45,25.35118988
F1,H+,15,female,H,antibiotic,3.57,13.69447314,12.7199943,96.52504475,3.16,24.1700922
F1,H+,16,female,H,antibiotic,3.88,9.262504789,12.9987445,83.76910441,3.26,52.34217226
F1,H+,17,female,H,antibiotic,3.28,9.028181193,7.427456085,52.81900725,3.78,29.36619964
F1,H+,18,female,H,antibiotic,3.49,8.656248437,11.27919869,70.74484049,3.49,32.42950187
F1,H+,19,female,H,antibiotic,3.81,9.908699769,12.98186766,107.3042987,3.89,29.71647588
F1,H+,20,female,H,antibiotic,3.85,9.483229433,10.0309132,68.71006828,3.63,38.23255326
F1,H+,21,female,H,antibiotic,3.73,10.58688256,12.40914384,80.73248843,3.82,33.08891469
F1,H+,22,female,H,antibiotic,3.53,10.71203938,13.28739628,89.98458201,3.76,46.83786135
F1,H+,23,female,H,antibiotic,3.94,12.73643092,12.54456795,118.4697502,3.8,37.7954878
F1,H+,24,female,H,antibiotic,3.74,9.275343299,12.61381184,64.0190181,3.91,29.19015387
F1,H+,25,female,H,antibiotic,3.89,9.509815865,8.392997434,42.07527868,3.51,15.08047769
F1,H+,26,female,H,antibiotic,3.51,10.14145562,11.82043182,108.4964754,3.32,20.44458488
F1,H+,27,female,H,antibiotic,3.65,10.89102963,14.2048783,118.7422832,3.83,47.33929631
F1,H+,28,female,H,antibiotic,3.6,10.22291542,11.40179854,123.8767014,3.86,20.87388842
F1,N-,1,female,N,no antibiotic,3.68,13.27333142,15.90260632,113.4749616,3.5,33.54610472
F1,N-,2,female,N,no antibiotic,3.49,10.71109321,13.10384426,75.87187974,2.78,35.01911574
F1,N-,3,female,N,no antibiotic,3.59,11.45099227,13.69864516,119.9126621,3.81,31.40130547
F1,N-,4,female,N,no antibiotic,3.78,10.49928473,10.22179159,61.0958611,3.81,19.66759307
F1,N-,5,female,N,no antibiotic,4.23,11.65052969,12.60558996,83.67244437,3.86,23.88926551
F1,N-,6,female,N,no antibiotic,3.56,13.38557276,11.04871985,105.532381,3.5,42.63708211
F1,N-,7,female,N,no antibiotic,3.29,11.01348298,16.12881073,107.3211327,3.9,37.00459853
F1,N-,8,female,N,no antibiotic,3.85,11.66902377,14.93918373,105.1171507,3.53,22.15584272
F1,N-,9,female,N,no antibiotic,3.91,11.22941901,16.88786814,80.34415184,3.58,24.86316312
F1,N-,10,female,N,no antibiotic,3.7,13.95665901,16.61379878,110.6997931,3.74,36.42803855
F1,N-,11,female,N,no antibiotic,3.5,10.60840075,12.36690495,102.9716522,3.94,39.06123081
F1,N-,12,female,N,no antibiotic,3.54,11.55025813,13.42555008,137.0561488,3.35,34.17790587
F1,N-,13,female,N,no antibiotic,3.97,12.03845447,13.67426483,59.22306813,3.68,26.06957373
F1,N-,14,female,N,no antibiotic,3.88,11.86482258,10.04506332,94.44034035,3.81,35.50948264
F1,N-,15,female,N,no antibiotic,3.42,12.66955679,11.37207187,144.2269949,3.73,46.67280422
F1,N-,16,female,N,no antibiotic,3.6,12.15472476,12.27319286,134.1131907,3.85,48.60143347
F1,N-,17,female,N,no antibiotic,3.68,10.89537,12.07201718,98.24150759,3.48,43.48670628
F1,N-,18,female,N,no antibiotic,3.69,11.83062273,8.160054501,49.13631648,3.92,46.73983094
F1,N-,19,female,N,no antibiotic,3.55,14.30604792,9.309610937,115.4598618,3.45,36.45497323
F1,N-,20,female,N,no antibiotic,3.79,10.92206583,10.7973287,82.1604415,3.8,46.12316751
F1,N-,21,female,N,no antibiotic,3.61,12.48082822,16.16318384,121.4968799,3.78,40.80201303
F1,N-,22,female,N,no antibiotic,3.88,10.11238137,15.15348315,125.5129197,3.61,29.14422031
F1,N-,23,female,N,no antibiotic,3.33,10.25922606,11.64086174,61.95872176,3.24,27.27819365
F1,N-,24,female,N,no antibiotic,3.6,10.45660787,12.39782826,34.43994385,3.62,54.53653815
