"OTU.ID"	"G1F0C1A"	"G1F0C2A"	"G1F0C3A"	"G1F0C4A"	"G1F0C5A"	"G1F0C6A"	"G1F0C7A"	"G1F0C8A"	"G1F0N1A"	"G1F0N2A"	"G1F0N3A"	"G1F0N4A"	"G1F0N5A"	"G1F0N6A"	"G1F0N7A"	"G1F0N8A"	"G1F1C1"	"G1F1C10"	"G1F1C11"	"G1F1C12"	"G1F1C13"	"G1F1C14"	"G1F1C15"	"G1F1C2"	"G1F1C3"	"G1F1C4"	"G1F1C5"	"G1F1C6"	"G1F1C7"	"G1F1C8"	"G1F1C9"	"G1F1N1"	"G1F1N10"	"G1F1N11"	"G1F1N12"	"G1F1N13"	"G1F1N14"	"G1F1N15"	"G1F1N2"	"G1F1N3"	"G1F1N4"	"G1F1N5"	"G1F1N6"	"G1F1N7"	"G1F1N8"	"G1F1N9"	"G2F2C1"	"G2F2C10"	"G2F2C11"	"G2F2C12"	"G2F2C13"	"G2F2C14"	"G2F2C15"	"G2F2C15B"	"G2F2C2"	"G2F2C3"	"G2F2C4"	"G2F2C5"	"G2F2C6"	"G2F2C7"	"G2F2C8"	"G2F2C9"	"G2F2N1"	"G2F2N10"	"G2F2N11"	"G2F2N12"	"G2F2N13"	"G2F2N14"	"G2F2N15"	"G2F2N2"	"G2F2N3"	"G2F2N4"	"G2F2N5"	"G2F2N6"	"G2F2N7"	"G2F2N8"	"G2F2N9"	"G2F3C1"	"G2F3C10"	"G2F3C11"	"G2F3C12"	"G2F3C13"	"G2F3C14"	"G2F3C15"	"G2F3C2"	"G2F3C3"	"G2F3C4"	"G2F3C5"	"G2F3C6"	"G2F3C7"	"G2F3C8"	"G2F3C9"	"G2F3N1"	"G2F3N10"	"G2F3N11"	"G2F3N12"	"G2F3N13"	"G2F3N14"	"G2F3N15"	"G2F3N2"	"G2F3N3"	"G2F3N4"	"G2F3N5"	"G2F3N6"	"G2F3N7"	"G2F3N8"	"G2F3N9"
"21"	"062ac1aebea142de9d1236da50fdb655"	22	74	25	0	0	31	0	16	0	0	0	29	0	0	0	0	0	0	51	0	0	0	19	0	27	0	46	60	0	30	22	0	0	0	0	0	39	0	9	0	0	29	24	0	46	134	13	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22"	"830d40419cecbf95c310fd3151d3c49c"	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	2	0	6	7	7	2	0	0	7	14	6	9	4	0	0	0	0	6	6	0	5	0	0	9	0	6	11	18	11	18	13	0	6	24	12	9	7	7	15	0	0	16	0	10	8	7	0	0	0	33	9	9	19	0	8	3	5	22	0	7	6	9	19	0	6	0	19	17	3	16	7	7	18	15	0	8	8	6	18	8	16	0	5	9
"23"	"18df473790ae48e253aecc30db7c1625"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	61	0	0	0	0	89	0	0	0	0	31	0	0	0	18	66	0	0	0	0	0	25	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	60	0	0	30	0	0	24	0	0	0	0	0	0	0	0	0	36	0	11	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	12	0	15	0	0	0	0	0	0	0	0	0
"24"	"a9cb22d55e1c6f8453024e5e32f6cdcf"	0	47	14	38	0	24	0	0	0	0	0	0	0	0	8	13	0	0	21	0	0	0	23	0	0	39	0	0	29	0	0	0	0	0	0	0	51	0	0	0	32	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25"	"f9b0a8ac4ae3575e90ea1cc796a61a34"	0	42	0	0	0	33	0	0	0	95	0	0	0	0	0	0	138	0	23	0	0	0	0	0	0	25	50	0	0	0	0	0	41	0	0	0	28	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	44	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	39	0	0	0	0	0	0	0	0	0	0
"26"	"d7051f2ada5bf96cabeaffd320d39187"	0	0	40	44	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"27"	"519bac356ea547dad5a417ce4896b99f"	0	0	7	0	0	0	0	13	0	0	0	0	0	0	0	0	5	0	9	3	0	0	7	0	22	0	12	6	6	0	0	19	24	4	7	14	11	0	5	16	12	9	0	0	0	8	9	0	0	4	0	0	0	0	6	0	10	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	11	12	5	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	0	6	5	3	0	0	0	0	0	0	0	5	0	0	0	0
"28"	"8bd2a521fcb5e0e1fd9684ba248ebf19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"29"	"174872368223bcde1cf49a818f9e4b01"	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	7	26	11	5	0	13	18	10	38	0	10	0	9	14	0	17	0	0	26	0	0	15	8	0	0	0	0	24	20	24	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"30"	"e5fb34db279d81fdca7a881a6572c196"	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	13	9	0	6	3	0	8	7	0	0	8	0	0	0	0	0	7	0	3	0	0	3	0	11	6	20	8	11	5	8	0	15	9	3	0	23	10	0	0	0	0	9	0	4	0	6	0	11	9	0	3	0	0	0	7	0	0	0	5	8	6	0	0	0	6	8	0	15	0	0	0	7	9	2	0	2	6	0	6	0	0	4
